GEOCODIGO1,Quantidade_Paralizacao,GEOCODIGO,AG002,ES002,IN014
220005,0,2200053,504,NA,100
220025,0,2200251,1130,NA,100
220027,12,2200277,1250,NA,100
220045,4,2200459,1231,NA,99.48
220070,0,2200707,1876,NA,NA
220090,0,2200905,1243,NA,NA
220095,NA,2200954,NA,NA,NA
220105,19,2201051,1060,NA,100
220110,0,2201101,2360,NA,28.84
220155,NA,2201556,NA,NA,100
220157,0,2201572,701,NA,NA
220170,0,2201705,1407,NA,NA
220173,NA,2201739,NA,NA,100
220180,0,2201804,799,NA,NA
220190,0,2201903,7464,NA,NA
220192,0,2201929,423,NA,NA
220198,0,2201988,679,NA,100
220202,16,2202026,1567,NA,100
220207,NA,2202075,NA,NA,NA
220209,NA,2202091,NA,NA,NA
220210,0,2202109,761,NA,NA
220211,NA,2202117,NA,NA,NA
220213,0,2202133,820,60,30.71
220225,0,2202251,598,NA,NA
220230,0,2202307,4531,NA,100
220245,0,2202455,500,NA,100
220250,0,2202505,855,NA,NA
220255,0,2202554,584,NA,NA
220260,0,2202604,4006,NA,100
220275,0,2202752,692,NA,NA
220277,0,2202778,1001,NA,NA
220280,0,2202802,991,NA,100
220285,0,2202851,751,NA,NA
220310,0,2203107,2178,NA,NA
220320,0,2203206,2725,NA,NA
220323,NA,2203230,NA,NA,NA
220327,0,2203271,444,NA,NA
220335,0,2203354,749,NA,NA
220340,0,2203404,1382,NA,100
220342,0,2203420,423,NA,NA
220345,NA,2203453,NA,NA,100
220360,0,2203602,1407,NA,NA
220375,NA,2203750,NA,NA,NA
220380,0,2203800,835,NA,NA
220385,NA,2203859,NA,NA,NA
220415,NA,2204154,NA,NA,100
220420,0,2204204,1216,NA,23.85
220430,0,2204303,2664,NA,100
220435,NA,2204352,NA,NA,NA
220455,0,2204550,654,NA,NA
220470,0,2204709,3020,875,94.89
220480,0,2204808,1806,NA,100
220490,0,2204907,805,NA,NA
220500,0,2205003,1295,NA,NA
220510,0,2205102,2538,NA,86.19
220515,0,2205151,841,NA,NA
220520,0,2205201,2735,NA,NA
220535,3,2205359,1500,220,100
220551,0,2205516,555,NA,99.88
220552,0,2205524,602,NA,NA
220553,0,2205532,768,NA,NA
220556,NA,2205565,NA,NA,100
220557,NA,2205573,NA,NA,NA
220559,NA,2205599,NA,NA,NA
220590,0,2205904,1144,NA,NA
220595,NA,2205953,NA,NA,NA
220605,NA,2206050,NA,NA,NA
220635,25,2206357,1215,NA,91.58
220650,0,2206506,1337,NA,100
220665,NA,2206654,NA,NA,NA
220670,0,2206704,1028,NA,NA
220690,0,2206902,1402,NA,NA
220700,0,2207009,7105,3050,89.67
220720,0,2207207,1592,NA,NA
220730,0,2207306,866,NA,100
220735,4,2207355,450,NA,NA
220740,0,2207405,496,NA,NA
220755,0,2207553,228,NA,NA
